MIN;AVG;MAX
5;59;89
56;78;92
48;82;103
52;80;99
54;84;106
50;83;102
61;83;104
36;78;101
15;75;103
53;79;112
46;85;108
46;84;107
10;83;107
3;68;93
32;64;96
32;70;108
34;67;102
30;64;96
42;71;104
33;78;110
32;65;95
35;70;91
32;72;98
14;75;95
26;73;97
39;76;98
4;74;97
18;76;97
40;72;90
33;74;96
28;38;68
25;33;64
23;31;63
25;38;92
27;60;99
28;39;89
30;101;1939
45;75;89
47;74;90
39;75;96
25;65;103
36;80;109
25;70;101
36;71;97
28;73;103
29;64;109
20;56;91
33;73;114
32;74;107
37;75;103
32;67;102
31;62;104
23;62;89
29;68;101
29;59;106
26;59;92
26;52;86
34;70;95
29;70;95
22;50;86
24;30;57
26;51;105
36;76;111
23;67;98
38;73;95
25;67;105
36;66;84
33;68;95
25;56;98
24;37;62
22;37;66
24;55;93
24;60;89
39;67;89
22;64;94
25;62;109
38;68;85
40;70;93
43;69;83
37;68;82
53;72;85
46;70;89
35;70;85
38;69;91
36;73;97
33;-2147483648;-2147483648
46;84;104
48;86;105
47;86;111
22;80;107
33;68;92
27;72;94
27;63;97
28;46;108
25;55;100
26;37;67
24;43;104
22;33;75
11;64;102
5;87;116
30;88;114
46;86;105
45;86;105
39;86;110
34;87;114
18;71;96
25;63;102
29;76;94
30;65;93
34;72;95
38;75;97
23;70;97
29;51;69
33;63;106
32;61;102
30;57;72
25;62;111
36;68;88
