MIN;AVG;MAX
17;81;197
38;80;173
19;87;221
38;84;214
38;85;225
35;88;218
39;87;196
36;81;199
36;82;220
28;83;219
26;62;178
26;74;201
26;60;218
28;63;206
22;65;207
26;67;190
26;69;220
26;63;210
26;59;200
27;59;192
27;58;182
24;59;206
26;65;204
26;59;215
18;59;195
27;63;201
28;60;199
25;61;192
26;59;211
27;66;213
26;66;203
26;61;178
30;68;221
26;67;202
28;65;200
27;69;198
31;77;215
35;84;217
36;84;203
38;87;203
34;77;202
33;72;194
34;80;222
34;82;215
35;84;208
30;92;217
31;87;244
36;85;239
31;74;264
29;79;227
28;87;226
29;66;184
31;67;187
31;66;186
30;72;221
27;73;198
28;76;177
27;74;202
27;70;190
31;75;210
30;81;210
25;85;197
36;78;186
31;74;204
30;71;183
34;72;191
30;69;205
33;70;180
31;73;204
35;78;219
34;76;235
24;76;197
33;75;200
34;78;180
36;85;207
31;76;186
32;73;185
29;69;181
32;79;222
33;81;203
34;80;206
32;78;210
34;76;200
34;75;207
35;75;170
35;75;176
29;78;220
35;77;202
34;73;184
32;71;204
28;73;234
31;72;187
29;70;182
29;78;188
33;82;205
33;78;215
32;74;215
33;71;191
33;72;194
34;70;156
26;82;230
22;93;219
31;71;202
32;75;184
32;71;176
32;75;193
35;95;225
45;103;215
42;94;206
40;103;218
33;95;224
29;94;216
28;102;224
38;89;217
29;71;194
32;71;181
24;78;201
33;76;222
32;76;203
4;73;191
32;71;214
29;82;203
21;86;212
31;85;205
32;85;201
33;81;225
32;75;180
31;74;191
36;87;210
32;68;175
31;71;210
23;90;218
33;81;243
31;78;208
22;79;216
32;78;207
31;76;209
30;72;202
30;78;231
34;78;179
34;83;216
35;77;198
18;74;187
18;81;190
27;79;205
30;78;196
33;81;215
33;75;179
18;82;201
18;67;192
23;58;208
25;60;177
24;64;190
25;64;189
25;67;205
25;61;187
27;60;182
25;55;197
27;59;181
25;60;210
24;57;191
25;60;173
25;59;202
24;64;186
24;66;208
17;59;214
22;62;170
16;61;194
25;59;166
23;58;205
24;61;184
24;60;190
25;57;181
25;64;179
24;66;198
25;59;172
25;77;197
33;73;190
35;76;171
33;80;199
35;75;199
33;77;221
31;70;118
30;80;218
24;81;212
32;73;201
31;74;171
34;71;181
34;73;184
33;74;194
31;70;194
29;68;183
28;69;201
29;65;169
29;71;189
33;70;172
29;77;209
35;74;207
30;74;211
31;66;181
33;69;195
33;73;179
30;69;185
25;67;162
32;68;177
29;76;190
39;83;200
33;84;214
39;82;180
39;86;191
