MIN;AVG;MAX
19;83;232
38;87;248
38;86;217
20;92;281
39;86;229
37;80;240
32;79;241
38;88;256
37;82;242
38;87;223
35;79;219
35;82;251
37;76;239
36;83;245
36;77;223
36;75;239
36;80;241
37;83;213
35;80;199
37;88;214
13;72;154
26;28;32
13;32;165
14;45;213
14;44;223
14;33;209
25;33;188
13;27;31
13;46;188
13;42;183
12;44;198
15;35;163
22;32;198
13;31;171
25;33;201
25;26;28
14;44;218
13;38;203
13;43;197
16;42;211
13;46;226
13;26;29
13;37;178
15;44;201
14;34;196
27;29;32
28;30;33
14;33;174
15;38;212
14;49;222
14;37;180
14;38;207
26;28;30
25;27;30
25;27;29
25;27;29
25;28;30
14;34;218
15;40;220
