MIN;AVG;MAX
20;82;176
26;79;187
39;84;204
37;89;228
14;80;203
28;76;188
27;80;221
39;86;213
37;83;227
42;86;214
36;74;93
37;79;215
35;82;225
34;82;208
34;77;224
34;78;198
33;70;208
33;71;207
32;74;222
32;70;168
31;69;198
32;74;197
32;70;191
32;70;180
32;72;183
29;73;211
29;68;178
30;68;198
30;69;201
30;71;180
29;65;183
28;65;174
31;67;204
31;68;203
31;72;189
32;72;214
29;63;177
28;66;206
29;64;196
30;72;186
29;65;192
28;68;189
30;68;190
32;72;169
32;72;190
30;70;200
30;65;175
19;75;208
32;73;221
29;72;202
30;72;187
30;66;165
15;83;223
30;80;217
30;75;190
31;68;197
29;74;185
31;71;204
31;70;195
31;75;209
31;68;169
32;70;186
29;76;196
30;68;175
30;64;182
30;63;181
30;69;191
28;58;69
29;71;181
29;67;193
27;64;188
28;60;181
27;70;191
26;74;204
27;62;185
27;68;206
27;67;205
28;68;198
30;70;197
27;64;183
30;68;182
28;67;189
28;64;172
28;71;206
28;68;184
29;67;214
29;73;203
28;62;188
27;67;194
27;66;183
26;70;190
27;73;189
27;69;181
27;66;201
29;64;161
26;63;186
28;62;179
28;69;183
27;68;199
28;63;189
29;65;180
27;72;183
28;69;190
27;71;194
28;74;212
29;68;179
22;74;193
28;68;194
30;74;206
31;66;194
29;69;199
3;70;183
30;76;192
30;66;175
29;75;194
29;72;209
27;63;173
27;64;171
27;62;199
20;70;200
28;69;179
28;74;186
28;67;182
27;68;193
29;68;183
29;70;174
30;70;169
21;68;172
24;57;180
24;55;166
23;53;175
18;48;171
23;52;176
23;55;164
23;57;152
24;56;179
24;54;184
23;53;160
23;52;157
19;54;174
19;52;193
24;57;177
24;57;165
24;54;155
24;58;180
23;52;169
16;54;178
20;51;168
19;60;177
16;56;204
18;57;169
22;54;185
16;56;170
23;60;183
16;56;178
13;52;164
19;57;202
19;49;163
19;49;176
20;52;162
23;57;162
21;56;175
22;52;163
23;55;175
21;54;204
21;59;182
23;53;170
22;52;174
22;57;177
20;64;172
22;57;206
23;54;173
22;58;186
23;57;174
24;62;173
24;62;179
24;53;154
24;65;176
21;58;179
26;55;177
24;57;183
24;58;177
24;58;179
23;56;162
21;68;181
22;59;166
24;52;126
23;65;191
23;54;181
23;55;185
23;56;185
23;50;161
23;54;173
23;60;182
23;62;175
22;59;185
24;56;174
24;54;173
23;57;175
25;61;184
24;55;199
27;60;185
26;61;179
24;57;166
22;62;200
23;56;165
23;55;190
22;54;196
22;57;158
23;55;167
22;56;171
23;57;179
22;55;155
23;59;184
23;57;176
23;57;205
23;64;187
24;58;160
24;55;171
25;66;204
25;56;167
23;62;158
16;66;197
23;61;178
23;60;186
23;58;174
22;59;171
21;54;168
23;57;179
22;49;173
24;51;167
25;56;166
21;51;173
21;50;162
23;56;158
27;62;193
27;60;184
26;62;174
25;57;164
26;60;190
30;64;157
29;64;156
26;67;170
28;77;183
29;75;182
29;73;180
18;61;172
28;62;175
28;61;177
29;68;181
25;66;203
29;68;172
29;66;210
28;68;188
22;67;200
27;73;176
30;73;204
33;73;173
32;69;192
31;71;191
32;84;202
35;83;209
34;86;188
34;77;196
36;78;182
24;75;169
26;73;180
23;65;167
32;82;226
33;74;184
32;70;180
32;74;175
34;74;202
32;70;172
32;71;176
32;75;208
34;73;180
33;82;242
34;75;181
34;77;195
34;83;210
34;79;197
29;70;198
32;73;199
29;60;81
30;77;206
30;67;201
26;71;194
30;71;191
30;67;195
31;68;185
31;79;193
31;68;179
32;69;184
32;79;192
