MIN;AVG;MAX
11;64;81
41;70;95
39;69;85
32;71;95
29;72;90
47;72;90
3;72;93
26;58;75
34;66;82
34;61;80
35;65;85
47;67;78
44;68;80
40;68;85
32;67;81
36;63;84
46;65;85
33;65;88
30;63;80
34;62;74
29;59;76
31;63;80
26;58;73
32;61;78
28;62;80
29;63;82
32;62;79
40;60;71
29;59;82
30;58;76
35;61;76
35;59;75
44;57;73
31;62;81
30;59;76
31;57;71
36;55;70
22;56;76
31;59;79
38;60;75
32;59;76
30;59;75
13;55;77
33;56;74
30;57;71
31;61;78
31;59;74
29;57;73
29;58;74
28;56;75
27;58;76
29;58;75
30;61;80
27;59;79
27;59;81
31;62;77
19;61;79
32;64;78
34;65;81
31;64;76
34;61;76
31;65;83
34;65;77
34;60;80
36;63;78
55;66;81
33;65;79
33;65;77
32;65;79
30;60;86
30;58;77
31;58;81
32;59;79
33;54;64
32;57;68
30;60;77
31;57;84
32;56;71
29;59;81
34;58;72
30;56;71
30;60;78
25;54;66
34;56;81
29;58;73
31;56;71
