MIN;AVG;MAX
3;22;50
17;28;45
10;36;46
5;39;45
35;41;45
34;40;47
29;40;49
29;40;45
5;27;45
17;21;35
16;25;41
18;21;24
17;24;41
16;24;43
17;22;33
17;21;25
13;38;50
29;41;49
28;40;46
33;41;48
33;39;45
27;39;45
24;42;52
28;42;51
28;44;54
31;42;49
33;42;51
31;41;50
29;39;48
32;44;49
14;35;54
32;60;81
40;61;79
36;50;74
33;61;78
41;61;79
41;62;78
43;61;78
44;63;80
32;59;75
13;45;77
27;52;102
48;73;93
11;74;105
44;75;96
54;68;83
48;77;111
35;75;127
16;75;109
24;74;100
30;61;87
36;65;88
40;64;83
38;64;87
31;60;75
48;77;92
24;75;107
33;62;79
33;60;82
33;53;76
37;56;77
32;57;76
34;65;94
22;81;177
23;89;196
24;93;213
24;90;187
34;96;218
24;92;206
23;81;189
17;93;205
17;97;209
18;91;209
17;97;222
34;92;189
22;97;213
24;86;199
23;87;200
36;88;207
25;85;206
26;87;202
19;90;208
24;84;196
24;84;197
24;87;189
24;84;203
23;84;201
22;90;203
25;105;210
71;169;235
51;165;243
47;170;248
37;86;222
36;84;186
24;82;210
36;72;120
35;82;203
24;78;189
35;140;248
80;175;222
68;153;253
85;177;246
80;182;240
83;189;248
24;156;233
23;79;186
22;78;199
22;81;198
25;136;231
83;174;235
23;152;230
22;78;199
22;89;202
23;89;197
19;94;212
26;95;205
37;74;166
34;81;179
35;99;198
44;89;206
32;75;194
35;79;189
36;88;194
36;85;191
36;79;181
23;89;202
26;93;194
29;79;181
33;70;145
32;79;161
36;76;157
33;79;168
30;106;162
49;107;186
50;105;169
50;105;174
44;104;197
50;120;208
47;102;157
44;99;176
50;96;137
50;104;171
47;99;158
49;101;223
47;99;165
45;100;178
45;99;166
47;99;168
46;99;154
46;99;174
47;100;188
47;101;171
43;98;193
44;102;179
47;104;179
42;102;197
46;100;152
49;99;167
45;99;160
47;101;180
48;101;173
46;100;173
43;96;157
42;100;191
46;100;172
45;105;165
43;136;198
122;157;201
126;162;207
106;154;198
69;156;205
16;130;198
13;136;199
66;145;203
50;138;192
38;85;179
36;78;155
34;84;186
38;92;176
32;75;152
33;76;171
33;92;168
47;100;173
46;101;161
45;103;171
45;103;186
48;106;163
52;114;180
48;117;166
50;109;193
47;105;168
48;107;196
52;105;167
48;106;188
53;111;191
45;108;151
45;106;203
50;107;186
32;104;195
45;104;173
46;104;190
49;108;162
56;112;173
52;113;171
50;111;163
45;110;162
47;107;171
46;104;184
51;105;172
53;105;164
57;111;160
50;115;178
53;113;183
43;100;157
51;103;178
45;107;166
51;110;171
50;108;167
40;107;157
28;99;173
33;75;124
35;84;135
28;83;116
31;84;122
31;86;132
16;82;118
38;82;124
33;85;125
36;83;126
33;83;122
36;82;129
31;82;141
31;80;118
45;78;112
28;107;203
49;106;171
46;106;174
49;105;162
52;109;162
49;110;175
46;101;167
44;100;172
47;97;188
45;98;167
45;98;187
41;98;156
43;98;177
47;97;162
44;97;167
45;97;167
41;98;174
46;98;173
46;97;179
46;97;180
46;98;181
45;97;175
44;97;168
47;97;160
49;97;160
47;97;169
46;97;167
45;97;164
43;97;179
45;98;187
47;98;192
43;98;201
42;98;176
42;98;163
48;97;167
44;98;170
45;98;175
43;97;170
46;97;174
48;101;173
45;101;174
47;105;161
46;107;167
51;106;178
49;109;164
43;101;169
48;116;186
38;111;195
48;119;213
50;111;209
34;117;225
35;117;208
37;116;209
37;119;221
