MIN;AVG;MAX
3;35;50
29;53;72
48;55;72
48;54;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
36;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
36;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;54;73
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
47;55;72
47;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
47;55;72
48;55;72
48;55;72
48;54;72
48;55;72
47;55;75
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;54;72
36;51;72
48;52;72
48;52;72
48;53;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
36;55;72
45;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
36;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
46;55;77
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;73
36;55;72
48;55;72
48;55;72
48;55;72
48;55;72
36;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;54;72
48;55;72
36;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
36;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;54;72
48;54;72
48;55;72
48;55;72
48;55;72
46;55;76
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;55;72
48;55;72
48;55;72
48;55;72
48;55;72
48;54;72
48;54;72
46;54;76
48;54;72
36;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
46;54;72
48;54;72
48;54;72
48;54;72
48;54;72
36;54;76
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
36;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
36;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
36;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
36;54;72
48;54;72
48;54;72
48;54;72
36;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
48;54;72
46;55;72
