MIN;AVG;MAX
6;84;237
37;81;203
25;88;241
35;87;265
38;86;235
39;82;202
38;81;209
37;81;215
26;84;217
37;85;216
40;85;197
38;85;213
37;91;254
39;80;250
39;90;245
37;83;223
37;85;231
8;77;187
27;68;202
28;65;215
28;59;198
26;65;214
27;69;202
28;67;222
28;79;197
27;82;234
37;85;225
37;83;201
38;81;206
39;88;215
38;82;216
38;81;221
26;77;189
26;61;192
26;64;215
28;60;200
27;65;210
26;59;208
24;61;212
23;60;209
24;56;207
24;65;203
24;54;193
16;55;219
23;56;178
24;54;180
24;61;188
16;57;184
17;66;200
25;57;185
25;74;219
33;74;204
32;74;202
36;84;219
32;72;217
34;79;228
32;75;217
34;81;208
33;81;209
31;71;202
32;78;206
31;74;206
30;86;217
32;73;214
34;76;216
32;71;189
31;70;196
33;74;202
30;71;184
21;74;203
31;67;183
28;73;182
33;61;67
31;72;191
27;66;228
28;67;189
27;62;209
29;71;203
31;69;200
32;70;202
31;70;206
31;69;208
31;73;213
32;70;213
31;78;221
32;73;211
32;70;237
34;78;225
34;76;194
33;71;222
32;70;218
4;72;195
34;81;234
32;73;200
31;70;194
31;72;204
31;73;200
32;71;178
29;70;222
31;69;174
30;73;220
31;67;190
31;72;196
31;68;193
30;68;187
30;69;181
32;75;205
31;73;196
31;74;222
38;82;251
32;70;177
32;75;194
34;71;205
32;75;201
35;78;199
32;78;197
32;72;196
31;76;204
35;76;205
34;81;212
34;75;203
36;76;187
34;77;175
36;82;182
33;78;173
32;75;184
31;74;196
21;74;204
34;74;212
31;75;191
31;71;179
32;72;201
34;78;193
24;79;225
33;74;172
32;77;198
31;70;214
30;72;212
27;69;241
29;65;183
27;65;185
27;65;192
28;68;172
29;66;186
31;73;187
29;68;180
30;67;220
29;71;242
28;68;197
28;63;181
28;65;203
28;68;185
29;65;187
29;72;173
29;75;192
28;64;171
31;69;191
33;73;190
30;69;184
31;72;184
28;71;216
28;64;187
30;71;191
33;74;175
36;78;195
29;67;184
29;67;197
31;76;194
30;69;178
30;69;176
31;68;182
23;64;172
23;52;186
22;59;183
23;61;177
24;61;181
26;68;194
23;59;169
24;60;184
24;61;185
23;54;178
23;57;184
23;56;186
22;51;190
23;54;171
23;61;198
23;53;159
22;55;182
21;48;174
22;60;194
24;48;152
22;60;190
22;47;126
22;56;199
22;49;158
23;62;188
23;51;185
23;55;176
22;56;196
22;56;203
23;51;181
22;64;190
23;56;186
15;57;198
22;51;203
22;53;180
22;53;189
23;59;191
22;63;192
23;56;179
23;62;189
24;58;178
23;54;185
22;54;186
20;53;176
21;53;200
20;52;174
23;56;181
22;59;174
23;58;198
23;57;185
21;59;206
22;51;173
22;55;178
23;60;193
23;50;193
21;49;170
21;49;170
21;52;183
23;54;198
23;60;189
22;57;180
23;59;190
23;57;216
23;57;198
16;62;211
22;61;200
22;56;184
20;60;181
20;53;185
20;51;210
22;66;172
20;52;188
20;55;206
22;57;163
19;53;201
20;45;152
20;51;181
22;57;174
14;53;194
21;55;183
21;55;176
23;55;214
23;55;207
22;57;182
21;53;179
21;56;203
18;54;178
22;56;193
21;57;170
18;46;162
22;51;181
18;50;178
18;43;160
17;45;183
20;52;186
20;48;170
22;53;176
22;54;183
20;57;190
22;57;202
22;53;185
21;50;194
22;51;220
23;53;175
16;57;194
23;54;169
23;54;181
16;55;203
22;56;170
21;55;184
23;53;173
23;55;184
22;55;193
21;53;199
22;54;211
24;57;176
23;63;174
21;59;171
22;52;176
22;56;184
23;57;192
23;57;162
21;51;161
21;49;202
22;53;162
22;53;188
22;49;152
24;53;164
23;52;179
24;52;178
21;61;192
22;54;178
23;51;200
24;53;179
22;56;181
21;52;199
22;52;186
22;56;188
24;63;245
25;56;182
25;56;187
25;56;200
26;56;200
25;56;192
25;57;196
26;56;211
26;59;199
25;57;177
25;61;198
26;57;185
24;62;205
24;58;190
25;61;212
25;59;205
24;55;185
21;52;236
21;50;183
23;56;194
25;61;227
25;59;212
21;61;194
21;57;198
22;62;240
25;56;185
25;58;199
25;56;194
26;54;197
22;61;203
24;56;174
27;69;212
28;63;217
26;66;202
25;66;244
26;62;215
25;58;207
24;58;203
23;60;200
24;60;199
23;55;203
24;58;211
23;61;211
26;63;200
23;56;191
23;57;241
24;58;210
24;54;191
24;54;176
25;55;196
25;55;211
24;55;199
24;55;185
24;55;193
24;55;185
25;55;201
25;55;192
25;55;205
24;53;176
24;57;195
24;56;184
24;59;240
23;54;196
24;67;223
25;54;201
24;56;226
24;60;214
24;58;219
27;63;230
29;55;190
17;65;248
24;67;213
23;57;221
24;57;224
15;56;211
23;56;208
23;58;218
23;61;212
23;59;227
25;59;206
23;55;198
23;59;231
25;55;221
28;58;205
23;60;213
24;56;190
23;55;212
24;55;201
24;54;186
24;54;200
24;56;189
24;53;187
25;67;203
25;66;211
25;58;215
26;58;219
25;60;237
26;64;221
34;75;223
